node,type,degree_centrality,betweenness_centrality
Iran,region,0.11139896373056994,0.0
Israel,region,0.09412780656303972,0.0
Al Jazeera English,source,0.09283246977547495,0.0
Ukraine,region,0.08031088082901554,0.0
Myanmar,region,0.07772020725388601,0.0
US,region,0.07081174438687392,0.0
Russia,region,0.056994818652849735,0.0
BBC News,source,0.045768566493955096,0.0
Syria,region,0.04490500863557858,0.0
Sudan,region,0.04404145077720207,0.0
WION,source,0.03842832469775475,0.0
Yemen,region,0.03713298791018998,0.0
The Sun,source,0.03626943005181347,0.0
Times Now,source,0.03626943005181347,0.0
Gaza,region,0.03151986183074266,0.0
DW News,source,0.028929188255613126,0.0
The Military Show,source,0.027202072538860103,0.0
Kanal13,source,0.027202072538860103,0.0
WarFronts,source,0.027202072538860103,0.0
DW Documentary,source,0.027202072538860103,0.0
Lebanon,region,0.023316062176165803,0.0
Denys Davydov,source,0.018134715025906734,0.0
Vox,source,0.018134715025906734,0.0
Yaqeen Institute,source,0.01770293609671848,0.0
China,region,0.015975820379965457,0.0
India,region,0.01468048359240069,0.0
Times Now World,source,0.013385146804835924,0.0
Defense Digest,source,0.011226252158894645,0.0
Global Lens,source,0.01079447322970639,0.0
FRANCE 24 English,source,0.009930915371329879,0.0
Madmam,source,0.009067357512953367,0.0
TRT World,source,0.009067357512953367,0.0
 Wyrm,source,0.009067357512953367,0.0
NBC News,source,0.009067357512953367,0.0
Nitish Rajput,source,0.009067357512953367,0.0
The Guardian,source,0.009067357512953367,0.0
Firstpost,source,0.009067357512953367,0.0
On Demand News,source,0.009067357512953367,0.0
AJ+,source,0.009067357512953367,0.0
Bloomberg News,source,0.009067357512953367,0.0
India 24,source,0.009067357512953367,0.0
Kagan Dunlap,source,0.009067357512953367,0.0
Frontline,source,0.009067357512953367,0.0
The Economist,source,0.009067357512953367,0.0
Ben Hodges Analysis,source,0.009067357512953367,0.0
WarLeaks - Military Blog,source,0.009067357512953367,0.0
UK,region,0.009067357512953367,0.0
Ryan McBeth,source,0.009067357512953367,0.0
TBN Israel,source,0.009067357512953367,0.0
Vologda Mapping,source,0.009067357512953367,0.0
Channel 4 News,source,0.009067357512953367,0.0
BBC World Service,source,0.009067357512953367,0.0
Daily Mail World,source,0.009067357512953367,0.0
Illustrate to Educate,source,0.009067357512953367,0.0
TLDR News Global,source,0.009067357512953367,0.0
South China Morning Post,source,0.009067357512953367,0.0
MIRROR NOW,source,0.008635578583765112,0.0
PuthiyathalaimuraiTV,source,0.008203799654576856,0.0
Tehran,region,0.007772020725388601,0.0
World War News,source,0.007340241796200345,0.0
News18 Punjab,source,0.007340241796200345,0.0
Uniworld ,source,0.007340241796200345,0.0
Globalsecurity.org,source,0.007340241796200345,0.0
The Times of India,source,0.007340241796200345,0.0
the United States,region,0.0069084628670120895,0.0
Ukrainian,region,0.0069084628670120895,0.0
Sahel Chronicles,source,0.0069084628670120895,0.0
Ukraine war,topic,0.006044905008635578,0.0
Military Force,source,0.006044905008635578,0.0
amingo,source,0.006044905008635578,0.0
Newsweek,source,0.005613126079447322,0.0
Israelnationalnews.com,source,0.005613126079447322,0.0
Hindi,region,0.005613126079447322,0.0
Palestine,region,0.005613126079447322,0.0
Abcnews.com,source,0.005181347150259067,0.0
Spain,region,0.005181347150259067,0.0
israel,region,0.005181347150259067,0.0
russia,region,0.004749568221070812,0.0
New Delhi,region,0.004749568221070812,0.0
Moscow,region,0.004749568221070812,0.0
The Irish Times,source,0.004749568221070812,0.0
The Conversation Africa,source,0.004749568221070812,0.0
Ethiopia,region,0.004749568221070812,0.0
Globalresearch.ca,source,0.004317789291882556,0.0
Al Jazeera,source,0.004317789291882556,0.0
the Gaza Strip,region,0.0038860103626943004,0.0
Independent.ie,source,0.0038860103626943004,0.0
BBC World,source,0.0038860103626943004,0.0
Times Now Navbharat,source,0.0034542314335060447,0.0
India Today,source,0.0034542314335060447,0.0
Freerepublic.com,source,0.0034542314335060447,0.0
Fox News,source,0.0034542314335060447,0.0
Tamil,region,0.0034542314335060447,0.0
Italy,region,0.0034542314335060447,0.0
CNA,source,0.0034542314335060447,0.0
Japan Today,source,0.0034542314335060447,0.0
Foreign Policy,source,0.003022452504317789,0.0
NDTV India,source,0.0025906735751295333,0.0
RT,source,0.0025906735751295333,0.0
New York Post,source,0.0025906735751295333,0.0
Fortune,source,0.0025906735751295333,0.0
DRM News,source,0.002158894645941278,0.0
KVUE,source,0.002158894645941278,0.0
Myanmar civil war,topic,0.002158894645941278,0.0
PBS,source,0.002158894645941278,0.0
Antiwar.com,source,0.002158894645941278,0.0
Shannews.org,source,0.002158894645941278,0.0
Fair Observer,source,0.002158894645941278,0.0
Naturalnews.com,source,0.002158894645941278,0.0
ABC News In-depth,source,0.0017271157167530224,0.0
Ibtimes.com.au,source,0.0017271157167530224,0.0
ABC News (AU),source,0.0017271157167530224,0.0
GlobeNewswire,source,0.0017271157167530224,0.0
NPR,source,0.0017271157167530224,0.0
Financial Post,source,0.0017271157167530224,0.0
The Punch,source,0.0017271157167530224,0.0
POLITICO.eu,source,0.0017271157167530224,0.0
CBC News,source,0.0012953367875647667,0.0
The Daily Caller,source,0.0012953367875647667,0.0
HuffPost,source,0.0012953367875647667,0.0
Syria conflict,topic,0.0012953367875647667,0.0
Gaza conflict,topic,0.0012953367875647667,0.0
TV9 Bharatvarsh,source,0.0012953367875647667,0.0
Unique Hub ,source,0.0012953367875647667,0.0
Gaza Strip,region,0.0012953367875647667,0.0
Sudan war,topic,0.0012953367875647667,0.0
Common Dreams,source,0.0012953367875647667,0.0
DW (English),source,0.0012953367875647667,0.0
New York Magazine,source,0.0012953367875647667,0.0
Breitbart News,source,0.0012953367875647667,0.0
Infographics,source,0.0012953367875647667,0.0
Mediaite,source,0.0012953367875647667,0.0
War on the Rocks,source,0.0012953367875647667,0.0
Human Rights Watch,source,0.0012953367875647667,0.0
Juancole.com,source,0.0012953367875647667,0.0
Business Insider,source,0.0012953367875647667,0.0
Yemen Houthi,topic,0.0008635578583765112,0.0
ABP NEWS,source,0.0008635578583765112,0.0
Sputnikglobe.com,source,0.0008635578583765112,0.0
Peoplesreview.com.np,source,0.0008635578583765112,0.0
SBS News,source,0.0008635578583765112,0.0
Russia Ukraine,topic,0.0008635578583765112,0.0
Khabarhub.com,source,0.0008635578583765112,0.0
Digital Journal,source,0.0008635578583765112,0.0
Slashdot.org,source,0.0008635578583765112,0.0
CNBC,source,0.0008635578583765112,0.0
Dailyreckoning.com,source,0.0008635578583765112,0.0
Crypto Briefing,source,0.0008635578583765112,0.0
BusinessLine,source,0.0008635578583765112,0.0
Protothema.gr,source,0.0008635578583765112,0.0
Irishtimes.comhttps,source,0.0008635578583765112,0.0
Www.gov.uk,source,0.0008635578583765112,0.0
The Indian Express,source,0.0008635578583765112,0.0
Ewtnnews.com,source,0.0008635578583765112,0.0
TheJournal.ie,source,0.0008635578583765112,0.0
The Asian Chronicle,source,0.0008635578583765112,0.0
Vanguard,source,0.0008635578583765112,0.0
Activistpost.com,source,0.0008635578583765112,0.0
The Week Magazine,source,0.0008635578583765112,0.0
The New York Review of Books,source,0.0008635578583765112,0.0
Sky News,source,0.0004317789291882556,0.0
The National News,source,0.0004317789291882556,0.0
The Enforcer,source,0.0004317789291882556,0.0
Kanal13,region,0.0004317789291882556,0.0
"
LegacyHistoryDocs",source,0.0004317789291882556,0.0
africanews,source,0.0004317789291882556,0.0
Psychology Today,source,0.0004317789291882556,0.0
EUobserver,source,0.0004317789291882556,0.0
Substack.com,source,0.0004317789291882556,0.0
Hbs.edu,source,0.0004317789291882556,0.0
Nature.com,source,0.0004317789291882556,0.0
Livemint,source,0.0004317789291882556,0.0
Ms. Magazine,source,0.0004317789291882556,0.0
Columbia Journalism Review,source,0.0004317789291882556,0.0
Raw Story,source,0.0004317789291882556,0.0
The Intercept,source,0.0004317789291882556,0.0
Weeklyosm.eu,source,0.0004317789291882556,0.0
CBS News,source,0.0004317789291882556,0.0
Rlsbb.to,source,0.0004317789291882556,0.0
Gatewayhispanic.com,source,0.0004317789291882556,0.0
Yahoo Entertainment,source,0.0004317789291882556,0.0
OilPrice.com,source,0.0004317789291882556,0.0
Steynonline.com,source,0.0004317789291882556,0.0
The Federalist,source,0.0004317789291882556,0.0
The Atlantic,source,0.0004317789291882556,0.0
The Verge,source,0.0004317789291882556,0.0
CNN,source,0.0004317789291882556,0.0
London Review of Books,source,0.0004317789291882556,0.0
UN News,source,0.0004317789291882556,0.0
My Modern Met,source,0.0004317789291882556,0.0
Hurriyet Daily News,source,0.0004317789291882556,0.0
Thenation.com,source,0.0004317789291882556,0.0
CoinDesk,source,0.0004317789291882556,0.0
Wonkette.com,source,0.0004317789291882556,0.0
Archinect,source,0.0004317789291882556,0.0
Tubefilter,source,0.0004317789291882556,0.0
Rigzone,source,0.0004317789291882556,0.0
The Straits Times,source,0.0004317789291882556,0.0
Legalinsurrection.com,source,0.0004317789291882556,0.0
Dnyuz.com,source,0.0004317789291882556,0.0
Wnd.com,source,0.0004317789291882556,0.0
The American Prospect,source,0.0004317789291882556,0.0
Boston Herald,source,0.0004317789291882556,0.0
Longwarjournal.org,source,0.0004317789291882556,0.0
EFF,source,0.0004317789291882556,0.0
Macdailynews.com,source,0.0004317789291882556,0.0
Sky.com,source,0.0004317789291882556,0.0
Popular Science,source,0.0004317789291882556,0.0
Christiantoday.com,source,0.0004317789291882556,0.0
Nikkei.com,source,0.0004317789291882556,0.0
Haaretz,source,0.0004317789291882556,0.0
Gpfault.net,source,0.0004317789291882556,0.0
RTE,source,0.0004317789291882556,0.0
Gossiplankanews.com,source,0.0004317789291882556,0.0
Cointelegraph,source,0.0004317789291882556,0.0
ComputerWeekly.com,source,0.0004317789291882556,0.0
Ghacks Technology News,source,0.0004317789291882556,0.0
seattlepi.com,source,0.0004317789291882556,0.0
Insurance Journal,source,0.0004317789291882556,0.0
Github.com,source,0.0004317789291882556,0.0
Joins.com,source,0.0004317789291882556,0.0
New Atlas,source,0.0004317789291882556,0.0
